レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010607,未勝利,12:50,３歳,芝,2600,5,7,, アイアムコロンブス,牡,3,長浜鴻緒,56☆,3,164.26,5,32.7,12, 2.12,40.5,,,,,56.5,未勝利,6,12,A03,,2023103601,3,(美),奥平雅士,美浦,社台ファーム,千歳市,スクリーンヒーロー,レッドジェノヴァ,シンボリクリスエス
202608220102010608,未勝利,12:50,３歳,芝,2600,5,8,, リコラピッド,牝,3,ロイド, 55 ,2,166.60,14,24.7,13, 4.46,48.5,,,,,28.0,未勝利,6,12,A03,,2023106834,3,(美),森一誠,美浦,ノーザンファーム,安平町,レイデオロ,アディクティド,Diktat
202608220102010609,未勝利,12:50,３歳,芝,2600,6,9,, シャンドラファール,牡,3,松山弘平, 57 ,8,165.17,10,73.2,1, 3.03,-0.7,,,,,2.5,未勝利,6,12,A03,,2023107221,3,(栗),井上智史,栗東,ノーザンファーム,安平町,ドレフォン,ベルディーヴァ,ダイワメジャー
202608220102010610,未勝利,12:50,３歳,芝,2600,6,10,, レットミーテイク,牡,3,岩田望来, 57 ,3,165.68,12,51.0,8, 3.54,22.2,,,,,19.0,未勝利,6,12,A03,,2023101934,3,(栗),庄野靖志,栗東,富田恭司,様似町,スワーヴリチャード,ベリーフィールズ,オペラハウス
202608220102010611,未勝利,12:50,３歳,芝,2600,7,11,, パゴスピグイノス,牝,3,フーリー, 55 ,7,166.20,13,40.8,10, 4.06,32.4,,,,,31.5,未勝利,6,12,A03,,2023106832,3,(栗),森田直行,栗東,ノーザンファーム,安平町,モーリス,アソルータ,ゼンノロブロイ
202608220102010612,未勝利,12:50,３歳,芝,2600,7,12,, ギオンバヤシ,牡,3,武豊, 57 ,10,164.84,8,72.5,2, 2.70, 0.7,,,,,6.7,未勝利,6,12,A03,,2023102695,3,(栗),鈴木孝志,栗東,サンデーヒルズ,新ひだか町,ミッキーアイル,ウスベニノキミ,エイシンフラッシュ
202608220102010613,未勝利,12:50,３歳,芝,2600,8,13,, ホウオウライラック,牝,3,遠藤汰月,52▲,4,164.62,7,51.2,7, 2.48,22.0,,,,,58.8,未勝利,6,12,A03,,2023105618,3,(美),高柳瑞樹,美浦,神垣道弘,新ひだか町,レイデオロ,ホウオウマルゴー,ディープインパクト
202608220102010614,未勝利,12:50,３歳,芝,2600,8,14,, リアライズパリオ,牡,3,横山和生, 57 ,4,165.24,11,59.0,6, 3.10,14.2,,,,,32.5,未勝利,6,12,A03,,2023103679,3,(栗),須貝尚介,栗東,追分ファーム,安平町,サートゥルナーリア,ウィズアミッション,"Danehill Dancer"
202608220102010701,１勝ｸﾗｽ,13:25,３歳以上,ダ,1000,1,1,, ロードヴァルカン,牡,4,岩田望来, 58 ,18,59.74,2,71.5,1, 0.26,-4.6,,,,,9.2,1勝,7,13,003,,2022100660,4,(栗),中村直也,栗東,ケイアイファーム,新ひだか町,ロードカナロア,レディルージュ,ブライアンズタイム
202608220102010702,１勝ｸﾗｽ,13:25,３歳以上,ダ,1000,2,2,, カップッチョ,牡,9,古川吉洋, 58 ,85,60.68,11,29.6,11, 1.20,41.9,,,,,74.7,1勝,7,13,003,,2017104266,4,(美),佐藤吉勝,美浦,ミルファーム,浦河町,ジョーカプチーノ,ベルグチケット,ウイニングチケット
